OPS-Kode,Year,Altersgruppe,Wert
5-646.1,2017,25-30,91
5-646.1,2017,30-35,79
5-646.1,2017,35-40,44
5-646.1,2017,40-45,60
5-646.1,2017,45-50,45
5-646.1,2017,50-55,67
5-646.1,2017,55-60,44
5-646.1,2017,60 und älter,22
5-646.x,2017,Insgesamt,2
5-646.x,2017,unter 15,0
5-646.x,2017,15-20,0
5-646.x,2017,20-25,0
5-646.x,2017,25-30,0
5-646.x,2017,30-35,0
5-646.x,2017,35-40,0
5-646.x,2017,40-45,0
5-646.x,2017,45-50,2
5-646.x,2017,50-55,0
5-646.x,2017,55-60,0
5-646.x,2017,60 und älter,0
5-646.y,2017,Insgesamt,2
5-646.y,2017,unter 15,0
5-646.y,2017,15-20,0
5-646.y,2017,20-25,0
5-646.y,2017,25-30,0
5-646.y,2017,30-35,1
5-646.y,2017,35-40,1
5-646.y,2017,40-45,0
5-646.y,2017,45-50,0
5-646.y,2017,50-55,0
5-646.y,2017,55-60,0
5-646.y,2017,60 und älter,0
5-646.0,2018,Insgesamt,1216
5-646.0,2018,unter 15,0
5-646.0,2018,15-20,71
5-646.0,2018,20-25,305
5-646.0,2018,25-30,301
5-646.0,2018,30-35,156
5-646.0,2018,35-40,138
5-646.0,2018,40-45,108
5-646.0,2018,45-50,62
5-646.0,2018,50-55,47
5-646.0,2018,55-60,23
5-646.0,2018,60 und älter,5
5-646.1,2018,Insgesamt,595
5-646.1,2018,unter 15,0
5-646.1,2018,15-20,39
5-646.1,2018,20-25,79
5-646.1,2018,25-30,95
5-646.1,2018,30-35,76
5-646.1,2018,35-40,71
5-646.1,2018,40-45,39
5-646.1,2018,45-50,56
5-646.1,2018,50-55,58
5-646.1,2018,55-60,44
5-646.1,2018,60 und älter,38
5-646.x,2018,Insgesamt,5
5-646.x,2018,unter 15,0
5-646.x,2018,15-20,0
5-646.x,2018,20-25,0
5-646.x,2018,25-30,1
5-646.x,2018,30-35,1
5-646.x,2018,35-40,0
5-646.x,2018,40-45,1
5-646.x,2018,45-50,1
5-646.x,2018,50-55,0
5-646.x,2018,55-60,1
5-646.x,2018,60 und älter,0
5-646.y,2018,Insgesamt,0
5-646.y,2018,unter 15,0
5-646.y,2018,15-20,0
5-646.y,2018,20-25,0
5-646.y,2018,25-30,0
5-646.y,2018,30-35,0
5-646.y,2018,35-40,0
5-646.y,2018,40-45,0
5-646.y,2018,45-50,0
5-646.y,2018,50-55,0
5-646.y,2018,55-60,0
5-646.y,2018,60 und älter,0
5-646.0,2019,Insgesamt,1639
5-646.0,2019,unter 15,0
5-646.0,2019,15-20,143
5-646.0,2019,20-25,397
5-646.0,2019,25-30,399
5-646.0,2019,30-35,236
5-646.0,2019,35-40,191
5-646.0,2019,40-45,98
5-646.0,2019,45-50,72
5-646.0,2019,50-55,60
5-646.0,2019,55-60,35
5-646.0,2019,60 und älter,8
5-646.1,2019,Insgesamt,682
5-646.1,2019,unter 15,0
5-646.1,2019,15-20,35
5-646.1,2019,20-25,113
5-646.1,2019,25-30,124
5-646.1,2019,30-35,100
5-646.1,2019,35-40,51
5-646.1,2019,40-45,48
5-646.1,2019,45-50,48
5-646.1,2019,50-55,63
5-646.1,2019,55-60,48
5-646.1,2019,60 und älter,52
5-646.x,2019,Insgesamt,3
5-646.x,2019,unter 15,0
5-646.x,2019,15-20,0
5-646.x,2019,20-25,3
5-646.x,2019,25-30,0
5-646.x,2019,30-35,0
5-646.x,2019,35-40,0
5-646.x,2019,40-45,0
5-646.x,2019,45-50,0
5-646.x,2019,50-55,0
5-646.x,2019,55-60,0
5-646.x,2019,60 und älter,0
5-646.y,2019,Insgesamt,0
5-646.y,2019,unter 15,0
5-646.y,2019,15-20,0
5-646.y,2019,20-25,0
5-646.y,2019,25-30,0
5-646.y,2019,30-35,0
5-646.y,2019,35-40,0
5-646.y,2019,40-45,0
5-646.y,2019,45-50,0
5-646.y,2019,50-55,0
5-646.y,2019,55-60,0
5-646.y,2019,60 und älter,0
5-646.0,2020,Insgesamt,1473
5-646.0,2020,unter 15,0
5-646.0,2020,15-20,135
5-646.0,2020,20-25,403
5-646.0,2020,25-30,364
5-646.0,2020,30-35,207
5-646.0,2020,35-40,157
5-646.0,2020,40-45,93
5-646.0,2020,45-50,46
5-646.0,2020,50-55,40
5-646.0,2020,55-60,17
5-646.0,2020,60 und älter,11
5-646.1,2020,Insgesamt,680
5-646.1,2020,unter 15,0
5-646.1,2020,15-20,29
5-646.1,2020,20-25,117
