Jahr,Altersgruppe,Attribute,Value
2007,22,Insgesamt,955596
2007,23,männlich,488323
2007,23,weiblich,473978
2007,23,Insgesamt,962301
2007,24,männlich,495459
2007,24,weiblich,482620
2007,24,Insgesamt,978079
2007,25,männlich,511541
2007,25,weiblich,497751
2007,25,Insgesamt,1009292
2007,26,männlich,509707
2007,26,weiblich,499716
2007,26,Insgesamt,1009423
2007,27,männlich,515864
2007,27,weiblich,504541
2007,27,Insgesamt,1020405
2007,28,männlich,493236
2007,28,weiblich,481008
2007,28,Insgesamt,974244
2007,29,männlich,488262
2007,29,weiblich,475104
2007,29,Insgesamt,963366
2007,30,männlich,484351
2007,30,weiblich,471512
2007,30,Insgesamt,955863
2007,31,männlich,478507
2007,31,weiblich,465423
2007,31,Insgesamt,943930
2007,32,männlich,467936
2007,32,weiblich,453009
2007,32,Insgesamt,920945
2007,33,männlich,474059
2007,33,weiblich,461615
2007,33,Insgesamt,935674
2007,34,männlich,479911
2007,34,weiblich,467091
2007,34,Insgesamt,947002
2007,35,männlich,528748
2007,35,weiblich,511639
2007,35,Insgesamt,1040387
2007,36,männlich,585590
2007,36,weiblich,563809
2007,36,Insgesamt,1149399
2007,37,männlich,614550
2007,37,weiblich,588523
2007,37,Insgesamt,1203073
2007,38,männlich,661455
2007,38,weiblich,630833
2007,38,Insgesamt,1292288
2007,39,männlich,693824
2007,39,weiblich,660962
2007,39,Insgesamt,1354786
2007,40,männlich,710935
2007,40,weiblich,678772
2007,40,Insgesamt,1389707
2007,41,männlich,731986
2007,41,weiblich,696885
2007,41,Insgesamt,1428871
2007,42,männlich,739597
2007,42,weiblich,698892
2007,42,Insgesamt,1438489
2007,43,männlich,750717
2007,43,weiblich,712888
2007,43,Insgesamt,1463605
2007,44,männlich,745694
2007,44,weiblich,710184
2007,44,Insgesamt,1455878
2007,45,männlich,720786
2007,45,weiblich,690489
2007,45,Insgesamt,1411275
2007,46,männlich,706926
2007,46,weiblich,683633
2007,46,Insgesamt,1390559
2007,47,männlich,686940
2007,47,weiblich,665618
2007,47,Insgesamt,1352558
2007,48,männlich,665263
2007,48,weiblich,644602
2007,48,Insgesamt,1309865
2007,49,männlich,631296
2007,49,weiblich,611990
2007,49,Insgesamt,1243286
2007,50,männlich,617202
2007,50,weiblich,600404
2007,50,Insgesamt,1217606
2007,51,männlich,600400
2007,51,weiblich,587690
2007,51,Insgesamt,1188090
2007,52,männlich,580343
2007,52,weiblich,573082
2007,52,Insgesamt,1153425
2007,53,männlich,566096
2007,53,weiblich,568263
2007,53,Insgesamt,1134359
2007,54,männlich,546335
2007,54,weiblich,552987
2007,54,Insgesamt,1099322
2007,55,männlich,546487
2007,55,weiblich,554806
2007,55,Insgesamt,1101293
2007,56,männlich,534729
2007,56,weiblich,544006
2007,56,Insgesamt,1078735
2007,57,männlich,537088
2007,57,weiblich,547284
2007,57,Insgesamt,1084372
2007,58,männlich,519950
2007,58,weiblich,526275
2007,58,Insgesamt,1046225
2007,59,männlich,477922
2007,59,weiblich,482486
2007,59,Insgesamt,960408
2007,60,männlich,447098
2007,60,weiblich,456020
2007,60,Insgesamt,903118
2007,61,männlich,390005
2007,61,weiblich,399253
2007,61,Insgesamt,789258
2007,62,männlich,341101
2007,62,weiblich,356288
2007,62,Insgesamt,697389
2007,63,männlich,452247
2007,63,weiblich,471819
2007,63,Insgesamt,924066
2007,64,männlich,458450
2007,64,weiblich,478647
2007,64,Insgesamt,937097
2007,65,männlich,442995
2007,65,weiblich,466711
2007,65,Insgesamt,909706
2007,66,männlich,530309
2007,66,weiblich,567150
2007,66,Insgesamt,1097459
2007,67,männlich,551914
2007,67,weiblich,599730
2007,67,Insgesamt,1151644
2007,68,männlich,534801
2007,68,weiblich,588864
2007,68,Insgesamt,1123665
2007,69,männlich,492253
2007,69,weiblich,549297
2007,69,Insgesamt,1041550
2007,70,männlich,451438
2007,70,weiblich,512291
2007,70,Insgesamt,963729
2007,71,männlich,428516
2007,71,weiblich,498467
2007,71,Insgesamt,926983
2007,72,männlich,403673
2007,72,weiblich,478103
2007,72,Insgesamt,881776
2007,73,männlich,365129
2007,73,weiblich,442136
2007,73,Insgesamt,807265
2007,74,männlich,284627
2007,74,weiblich,354282
2007,74,Insgesamt,638909
2007,75,männlich,272699
2007,75,weiblich,350407
2007,75,Insgesamt,623106
2007,76,männlich,266492
2007,76,weiblich,354266
2007,76,Insgesamt,620758
2007,77,männlich,267062
2007,77,weiblich,368807
2007,77,Insgesamt,635869
2007,78,männlich,244995
2007,78,weiblich,352449
2007,78,Insgesamt,597444
2007,79,männlich,229810
2007,79,weiblich,341935
2007,79,Insgesamt,571745
2007,80,männlich,194425
2007,80,weiblich,318631
2007,80,Insgesamt,513056
2007,81,männlich,168774
2007,81,weiblich,311904
2007,81,Insgesamt,480678
2007,82,männlich,147388
2007,82,weiblich,302553
2007,82,Insgesamt,449941
2007,83,männlich,117711
2007,83,weiblich,275622
2007,83,Insgesamt,393333
2007,84,männlich,101864
2007,84,weiblich,253235
2007,84,Insgesamt,355099
2007,85 +,männlich,448079
2007,85 +,weiblich,1286950
2007,85 +,Insgesamt,1735029
2007,Insgesamt,männlich,40000000
2007,Insgesamt,weiblich,42000000
2007,Insgesamt,Insgesamt,82217837
2008,unter 1 Jahr,männlich,350238
2008,unter 1 Jahr,weiblich,333112
2008,unter 1 Jahr,Insgesamt,683350
2008,1,männlich,353354
2008,1,weiblich,334851
2008,1,Insgesamt,688205
2008,2,männlich,347780
2008,2,weiblich,329015
2008,2,Insgesamt,676795
2008,3,männlich,353345
2008,3,weiblich,335710
2008,3,Insgesamt,689055
2008,4,männlich,363038
2008,4,weiblich,344729
2008,4,Insgesamt,707767
2008,5,männlich,363599
2008,5,weiblich,345362
2008,5,Insgesamt,708961
2008,6,männlich,370107
2008,6,weiblich,351257
2008,6,Insgesamt,721364
2008,7,männlich,378734
2008,7,weiblich,359523
2008,7,Insgesamt,738257
2008,8,männlich,394540
2008,8,weiblich,377391
2008,8,Insgesamt,771931
2008,9,männlich,397982
2008,9,weiblich,376502
2008,9,Insgesamt,774484
2008,10,männlich,405688
2008,10,weiblich,385292
2008,10,Insgesamt,790980
2008,11,männlich,419004
2008,11,weiblich,397755
2008,11,Insgesamt,816759
2008,12,männlich,412249
2008,12,weiblich,390619
2008,12,Insgesamt,802868
2008,13,männlich,399477
2008,13,weiblich,379503
2008,13,Insgesamt,778980
2008,14,männlich,405384
2008,14,weiblich,383966
2008,14,Insgesamt,789350
2008,15,männlich,421727
2008,15,weiblich,399998
2008,15,Insgesamt,821725
2008,16,männlich,432430
2008,16,weiblich,411724
2008,16,Insgesamt,844154
2008,17,männlich,450343
2008,17,weiblich,428229
2008,17,Insgesamt,878572
2008,18,männlich,497197
2008,18,weiblich,472023
2008,18,Insgesamt,969220
2008,19,männlich,494064
2008,19,weiblich,471895
2008,19,Insgesamt,965959
2008,20,männlich,512704
2008,20,weiblich,489685
