Name,Addresse,Lat,Long,Fallzahl F64,Fallzahl 5-646.0,Fallzahl 5-646.1,Bettenanzahl,Stationäre Fälle insgesamt
St. Josef-Hospital Troisdorf,Hospitalstr. 45 53840 Troisdorf,,,7,0,0,324,12974
Katholisches Klinikum Mainz Fanny de la Roche Haus,An der Goldgrube 11 55131 Mainz,,,Datenschutz,0,0,541,22011
Krankenhaus St. Marienwörth,Mühlenstr. 39 55543 Bad Kreuznach,,,Datenschutz,0,0,298,11942
Diakonie Krankenhaus Bad Kreuznach,Ringstr. 64 55543 Bad Kreuznach,,,Datenschutz,0,0,351,17931
Klinikum Idar-Oberstein GmbH,Dr. Ottmar-Kohler-Str. 2 55743 Idar-Oberstein,,,Datenschutz,0,0,528,19395
Bundeswehrzentralkrankenhaus,Rübenacherstr. 170 56072 Koblenz,,,Datenschutz,0,0,506,13507
Gemeinschaftsklinikum Mittelrhein - Kemperhof Koblenz,Koblenzer Str. 115-155 56073 Koblenz,,,Datenschutz,0,0,504,21221
Katholisches Klinikum Koblenz-Montabaur - Brüderhaus Koblenz,Kardinal-Krementz-Straße 1-5 56073 Koblenz,,,Datenschutz,0,0,484,21150
Diakonie Klinikum Ev. Jung-Stilling-Krankenhaus,Wichernstraße 40 57074 Siegen,,,Datenschutz,0,0,483,26360
Diakonie Klinikum Kirchen,Bahnhofstr. 24 57548 Kirchen,,,Datenschutz,0,0,279,10124
Marienkrankenhaus Schwerte,Goethestr. 19 58239 Schwerte,,,Datenschutz,0,0,373,15253
HELIOS Klinikum Schwelm,Dr.-Möller-Str. 15 58332 Schwelm,,,Datenschutz,0,0,371,15270
St. Barbara-Klinik Hamm-Heessen,Am Heessener Wald 1 59073 Hamm,,,Datenschutz,0,0,448,19921
Karolinen-Hospital Hüsten,Stolte Ley 5 59759 Arnsberg,,,Datenschutz,0,0,501,26715
Hospital Zum Heiligen Geist,Lange Str. 4-6 60311 Frankfurt,,,Datenschutz,0,0,226,9927
AGAPLESION MARKUS KRANKENHAUS,Wilhelm-Epstein-Straße 4 60431 Frankfurt am Main,,,213,0,44,635,20722
Krankenhaus Sachsenhausen,Schulstr. 31 60594 Frankfurt,,,Datenschutz,0,0,192,9645
Hochwaldkrankenhaus Bad Nauheim,Chaumontplatz 1 61231 Bad Nauheim,,,Datenschutz,0,0,241,8734
Hochtaunus-Kliniken gGmbH Bad Homburg,Zeppelinstr. 20 61352 Bad Homburg,,,Datenschutz,0,0,492,24573
Ketteler-Krankenhaus,Lichtenplattenweg 85 63071 Offenbach,,,Datenschutz,0,0,278,12864
Asklepios Kliniken Langen-Seligenstadt GmbH Klinik Langen,Röntgenstr. 20 63225 Langen,,,Datenschutz,0,0,407,19564
Gesundheitszentrum Odenwaldkreis,Albert-Schweitzer-Str. 10-20 64711 Erbach,,,Datenschutz,0,0,344,11734
Kreiskliniken Darmstadt-Dieburg,Krankenhausstr. 11 64823 Groß-Umstadt,,,Datenschutz,0,0,363,11009
CaritasKlinikum Saarbrücken St. Theresia,Rheinstraße 2 66113 Saarbrücken,,,10,0,0,499,22744
Universitätskliniken des Saarlandes,Kirrberger Str. 100 66421 Homburg,,,Datenschutz,0,0,1466,45062
DRK-Krankenhaus Saarlouis,Vaubanstr. 25 66740 Saarlouis,,,Datenschutz,0,0,221,10383
Diakonissen-Stiftungs- Krankenhaus Speyer,Paul-Egell-Str. 33 67346 Speyer,,,Datenschutz,0,0,484,24805
St. Vincentius-Krankenhaus,Holzstr. 4 A 67346 Speyer,,,23,0,0,256,9042
Klinikum Worms gGmbH,Gabriel-von-Seidl-Str. 81 67550 Worms,,,Datenschutz,0,0,696,30516
Westpfalz-Klinikum GmbH Kaiserslautern,Hellmut-Hartert-Straße 1 67655 Kaiserslautern,,,12,0,0,975,32570
Universitätsklinikum Mannheim,Theodor-Kutzer-Ufer 1-3 68167 Mannheim,,,120,0,72,1352,44176
Klinikum der Universität Heidelberg,Im Neuenheimer Feld 672 69120 Heidelberg,,,Datenschutz,0,0,1277,56447
Krankenhaus Salem Evang. Stadtmission Heidelberg,Zeppelinstr. 11-33 69121 Heidelberg,,,Datenschutz,0,0,238,9487
St. Elisabeth Klinik,Max-Reger-Str. 5-7 69121 Heidelberg,,,Datenschutz,0,0,40,4376
GRN - Klinik Weinheim,Röntgenstr. 1 69469 Weinheim,,,4,0,0,220,11030
Klinikum Stuttgart - Katharinenhospital,Kriegsbergstraße 60 70174 Stuttgart,,,6,0,0,981,34306
"Robert Bosch Krankenhaus, Standort City",Hohenheimer Str. 21 70184 Stuttgart,,,19,0,0,150,1908
Marienhospital,Boeheimstr. 37 70199 Stuttgart,,,18,0,0,761,30143
Robert-Bosch-Krankenhaus,Auerbachstraße 110 70376 Stuttgart,,,Datenschutz,0,0,880,29358
Kreiskliniken Böblingen gGmbH - Kliniken Böblingen,Bunsenstraße 120 71032 Böblingen,,,Datenschutz,0,0,335,18105
BG Klinik Tübingen,Schnarrenbergstr. 95 72076 Tübingen,,,Datenschutz,0,0,257,8860
Zollernalb Klinikum Balingen,Tübingerstr. 30 72336 Balingen,,,Datenschutz,0,0,242,9900
medius Klinik Nürtingen,Auf dem Säer 1 72622 Nürtingen,,,Datenschutz,0,0,353,17193
Rems-Murr-Klinik Schorndorf,Schlichtener Str. 105 73614 Schorndorf,,,Datenschutz,0,0,248,10770
SLK-Kliniken Heilbronn GmbH - Klinikum am Gesundbrunnen,Am Gesundbrunnen 20 74078 Heilbronn,,,Datenschutz,0,0,971,49598
HELIOS Klinikum Pforzheim,Kanzlerstr. 2-6 75175 Pforzheim,,,Datenschutz,0,0,500,21816
Städtisches Klinikum Karlsruhe,Moltkestr. 90 76133 Karlsruhe,,,Datenschutz,0,0,1596,52948
Schwarzwald-Baar Klinikum Villingen-Schwenningen GmbH,Klinikstr. 11 78052 Villingen-Schwenningen,,,Datenschutz,0,0,826,38440
Hegau-Bodensee-Klinikum Standort Singen,Virchowstrasse 10 78224 Singen,,,Datenschutz,0,0,448,18992
Klinikum Konstanz,Mainaustraße 35 78464 Konstanz,,,Datenschutz,0,0,380,16254
St. Josefs-Krankenhaus,Sautierstr. 1 79104 Freiburg,,,Datenschutz,0,0,282,20031
Universitätsklinikum Freiburg,Hugstetter Str. 49 79106 Freiburg,,,41,0,Datenschutz,1693,64106
Kreiskrankenhaus Emmendingen,Gartenstr. 44 79312 Emmendingen,,,Datenschutz,0,0,263,10386
Rotkreuzklinikum München,Nymphenburger Straße 163 80634 München,,,308,0,230,435,19677
Kreiskrankenhaus München-Pasing,Steinerweg 5 81241 München,,,Datenschutz,0,0,412,20486
Dr. Lubos Kliniken Pasing,Schmiedwegerl 2-6 81241 München,,,465,0,106,45,1236
Dr. Lubos Kliniken Bogenhausen,Denninger Str. 44 81679 München,,,713,0,0,85,3866
Urologische Klinik München-Planegg,Germeringer Str. 32 82152 Planegg,,,393,0,0,75,3515
WolfartKlinik,Waldstr. 7 82166 Gräfelfing,,,Datenschutz,0,0,105,6860
Städtisches Klinikum Friedrichshafen,Röntgenstr. 2 88048 Friedrichshafen,,,Datenschutz,0,0,370,17450
Asklepios Klinik Lindau GmbH,Friedrichshafener Str. 82 88131 Lindau,,,Datenschutz,0,0,110,6037
Klinikum der Universität Ulm - Standort MB/SB,Eythstraße 24 89075 Ulm,,,4,0,0,454,23113
Klinikum der Universität Ulm,Albert-Einstein-Allee 29 89081 Ulm,,,Datenschutz,0,0,696,25676
Klinik Günzburg,Lindenallee 1 89312 Günzburg,,,Datenschutz,0,0,240,9827
Klinikum Nürnberg Nord,Prof.-Ernst-Nathan-Str. 1 90419 Nürnberg,,,Datenschutz,0,0,1215,46144
Kliniken Dr. Erler,Kontumazgarten 4-18 90429 Nürnberg,,,Datenschutz,0,0,220,9797
Klinikum Nürnberg Süd,Breslauer Straße 201 90471 Nürnberg,,,Datenschutz,0,0,929,38274
Klinikum der Friedrich- Alexander-Universität,Krankenhausstr. 12 91054 Erlangen,,,17,0,0,1462,59704
Bezirksklinikum Ansbach,Feuchtwanger Straße 38 91522 Ansbach,,,Datenschutz,0,0,422,4183
Klinikum St. Marien,Mariahilfbergweg 7 92224 Amberg,,,Datenschutz,0,0,598,26437
Klinikum Weiden,Söllnerstraße 16 92637 Weiden,,,13,0,0,649,26031
Krankenhaus der Barmherzigen Brüder,Prüfeningerstr. 86 93049 Regensburg,,,Datenschutz,0,0,985,46298
Caritas-Krankenhaus St. Josef,Landshuter Str. 65 93053 Regensburg,,,Datenschutz,0,0,325,17790
Klinikum der Universität Regensburg,Franz-Josef-Strauß-Allee 11 93053 Regensburg,,,Datenschutz,0,0,845,27876
Klinikum Bamberg -Betriebsstätte am Bruderwald-,Buger Str. 80 96049 Bamberg,,,Datenschutz,0,0,1136,35009
Klinikum Würzburg Mitte,Salvatorstr. 7 97074 Würzburg,,,Datenschutz,0,0,675,27775
Klinikum der Universität Würzburg,Josef-Schneider-Str. 2 97080 Würzburg,,,7,0,0,1452,61160
Main-Klinik Ochsenfurt,Am Greinberg 25 97199 Ochsenfurt,,,Datenschutz,0,0,140,6208
HELIOS Klinikum Erfurt GmbH,Nordhäuser Str. 74 99089 Erfurt,,,Datenschutz,0,0,1261,48607
Sophien- und Hufeland Klinikum,Henry-van-de-Velde-Str. 2 99425 Weimar,,,8,0,0,582,19174
