Geschlecht,Altersgruppe,Year,median_num_surgeries_per_year
trans* Männer,60 und älter,2015,4
trans* Männer,60 und älter,2016,8
trans* Männer,60 und älter,2017,8
trans* Männer,60 und älter,2018,5
trans* Männer,60 und älter,2019,8
trans* Männer,60 und älter,2020,11
trans* Männer,60 und älter,2021,10
trans* Männer,60 und älter,2022,17
trans* Männer,60 und älter,2023,17
trans* Männer,60 und älter,2024,19
trans* Männer,unter 15,2006,1
trans* Männer,unter 15,2007,0
trans* Männer,unter 15,2008,0
trans* Männer,unter 15,2009,0
trans* Männer,unter 15,2010,0
trans* Männer,unter 15,2011,0
trans* Männer,unter 15,2012,0
trans* Männer,unter 15,2013,0
trans* Männer,unter 15,2014,0
trans* Männer,unter 15,2015,0
trans* Männer,unter 15,2016,0
trans* Männer,unter 15,2017,0
trans* Männer,unter 15,2018,0
trans* Männer,unter 15,2019,0
trans* Männer,unter 15,2020,0
trans* Männer,unter 15,2021,0
trans* Männer,unter 15,2022,0
trans* Männer,unter 15,2023,0
trans* Männer,unter 15,2024,0
