"Name","Addresse","Fallzahl F64","Bettananzahl","Stationäre Fälle insgesamt"
"St. Josef Moers","Asberger Str. 9
                                47441 Moers","Datenschutz","376","16,767"
"St. Clemens-Hospital Geldern","Clemensstraße 1
                                47608 Geldern","Datenschutz","305","12,582"
"Alexianer Krefeld GmbH Krankenhaus Maria-Hilf Krefeld","Dießemer Bruch 81
                                47805 Krefeld","Datenschutz","575","15,546"
"St. Franziskus-Hospital","Hohenzollernring 72
                                48145 Münster","16","598","28,752"
"Universitätsklinikum Münster","Albert-Schweitzer-Campus 1
                                48149 Münster","Datenschutz","1,621","47,208"
"Fachklinik Hornheide","Dorbaumstr. 300
                                48157 Münster","8","140","6,313"
"Klinikum Osnabrück GmbH","Am Finkenhügel 1
                                49076 Osnabrück","13","735","32,619"
"Franziskus-Hospital Harderberg","Alte Rothenfelder Str. 23
                                49124 Georgsmarienhütte","Datenschutz","287","14,099"
"St.-Franziskus-Hospital","Franziskusstr. 6
                                49393 Lohne","Datenschutz","140","7,209"
"St. Katharinen-Hospital","Kapellenstr. 1-5
                                50226 Frechen","74","431","16,569"
"Dreifaltigkeits-Krankenhaus Wesseling","Bonner Str. 84
                                50389 Wesseling","Datenschutz","186","6,938"
"Cellitinnen-Severinsklösterchen Krankenhaus der Augustinerinnen","Jakobstr. 27-31
                                50678 Köln","Datenschutz","300","12,907"
"Eduardus-Krankenhaus","Custodisstr. 3-17
                                50679 Köln","Datenschutz","212","8,378"
"Cellitinnen-Krankenhaus Heilig Geist","Graseggerstr. 105
                                50737 Köln","Datenschutz","291","16,442"
"Universitätsklinikum Köln","Kerpener Str. 62
                                50937 Köln","Datenschutz","1,522","57,719"
"Kliniken der Stadt Köln Krankenhaus Holweide","Neufelder Str. 23
                                51067 Köln","4","407","15,260"
"Kinder- und Jugendpychiatrie","Florentine-Eicheler Str.1
                                51067 Köln","Datenschutz","78","628"
"Universitätsklinikum Aachen","Pauwelsstr. 30
                                52074 Aachen","5","1,488","38,263"
"St. Marien-Hospital gGmbH","Hospitalstr. 44
                                52353 Düren","Datenschutz","381","15,277"
"Städtisches Krankenhaus Heinsberg GmbH","Auf dem Brand 1
                                52525 Heinsberg","Datenschutz","215","9,751"
"Universitätsklinikum Bonn","Venusberg-Campus 1
                                53127 Bonn","Datenschutz","1,306","54,757"
"Ev. Kliniken Bonn, Waldkrankenhaus","Waldstr. 73
                                53177 Bonn","Datenschutz","265","11,750"
"Krankenhaus Maria Stern","Am Anger 1
                                53424 Remagen","Datenschutz","142","4,838"
"St. Josef-Hospital Troisdorf","Hospitalstr. 45
                                53840 Troisdorf","7","324","12,974"
"Katholisches Klinikum Mainz Fanny de la Roche Haus","An der Goldgrube 11
                                55131 Mainz","Datenschutz","541","22,011"
"Krankenhaus St. Marienwörth","Mühlenstr. 39
                                55543 Bad Kreuznach","Datenschutz","298","11,942"
"Diakonie Krankenhaus Bad Kreuznach","Ringstr. 64
                                55543 Bad Kreuznach","Datenschutz","351","17,931"
"Klinikum Idar-Oberstein GmbH","Dr. Ottmar-Kohler-Str. 2
                                55743 Idar-Oberstein","Datenschutz","528","19,395"
"Bundeswehrzentralkrankenhaus","Rübenacherstr. 170
                                56072 Koblenz","Datenschutz","506","13,507"
"Gemeinschaftsklinikum Mittelrhein - Kemperhof Koblenz","Koblenzer Str. 115-155
                                56073 Koblenz","Datenschutz","504","21,221"
"Katholisches Klinikum Koblenz-Montabaur - Brüderhaus Koblenz","Kardinal-Krementz-Straße 1-5
                                56073 Koblenz","Datenschutz","484","21,150"
"Diakonie Klinikum Ev. Jung-Stilling-Krankenhaus","Wichernstraße 40
                                57074 Siegen","Datenschutz","483","26,360"
"Diakonie Klinikum Kirchen","Bahnhofstr. 24
                                57548 Kirchen","Datenschutz","279","10,124"
"Marienkrankenhaus Schwerte","Goethestr. 19
                                58239 Schwerte","Datenschutz","373","15,253"
"HELIOS Klinikum Schwelm","Dr.-Möller-Str. 15
                                58332 Schwelm","Datenschutz","371","15,270"
"St. Barbara-Klinik Hamm-Heessen","Am Heessener Wald 1
                                59073 Hamm","Datenschutz","448","19,921"
"Karolinen-Hospital Hüsten","Stolte Ley 5
                                59759 Arnsberg","Datenschutz","501","26,715"
"Hospital Zum Heiligen Geist","Lange Str. 4-6
                                60311 Frankfurt","Datenschutz","226","9,927"
"AGAPLESION MARKUS KRANKENHAUS","Wilhelm-Epstein-Straße 4
                                60431 Frankfurt am Main","213","635","20,722"
"Krankenhaus Sachsenhausen","Schulstr. 31
                                60594 Frankfurt","Datenschutz","192","9,645"
"Hochwaldkrankenhaus Bad Nauheim","Chaumontplatz 1
                                61231 Bad Nauheim","Datenschutz","241","8,734"
"Hochtaunus-Kliniken gGmbH Bad Homburg","Zeppelinstr. 20
                                61352 Bad Homburg","Datenschutz","492","24,573"
"Ketteler-Krankenhaus","Lichtenplattenweg 85
                                63071 Offenbach","Datenschutz","278","12,864"
"Asklepios Kliniken Langen-Seligenstadt GmbH Klinik Langen","Röntgenstr. 20
                                63225 Langen","Datenschutz","407","19,564"
"Gesundheitszentrum Odenwaldkreis","Albert-Schweitzer-Str. 10-20
                                64711 Erbach","Datenschutz","344","11,734"
"Kreiskliniken Darmstadt-Dieburg","Krankenhausstr. 11
                                64823 Groß-Umstadt","Datenschutz","363","11,009"
"CaritasKlinikum Saarbrücken St. Theresia","Rheinstraße 2
                                66113 Saarbrücken","10","499","22,744"
